Ticker,Daily_Volatility,Annualized_Volatility
BND,0.0032651028576215274,0.051831900997877385
ZAG.TO,0.004201303513613243,0.06669362567593505
XIC.TO,0.009164931977541122,0.1454887847723833
VCN.TO,0.009245745815761411,0.14677166468292424
SPLV,0.009441825222308305,0.14988432876458951
VDY.TO,0.009870354835228953,0.15668702547587834
SCHD,0.010163037991695118,0.16133322654555962
VFV.TO,0.01016798992467676,0.1614118360446305
SPY,0.010905278985227685,0.17311593703614767
VTI,0.01111081728346294,0.17637875636832712
